fastq_id    sample_id   lib_type
SRR5605163 SRR5605163 fr-firststrand
SRR5605164 SRR5605164 fr-firststrand
SRR5605165 SRR5605165 fr-firststrand
SRR5605166 SRR5605166 fr-firststrand
SRR5605167 SRR5605167 fr-firststrand
SRR5605168 SRR5605168 fr-firststrand
