fastq_id    sample_id   lib_type
A1_CKDL230040163-1A_HHV7FDSX7_L3 wild-type_minus_IFNb fr-first-strand
A2_CKDL230040163-1A_HHV7FDSX7_L3 wild-type_plus_IFNb fr-first-strand
A3_CKDL230040163-1A_HHV7FDSX7_L3 wild-type_plus_IFNb_plus_DOX fr-first-strand
A4_CKDL230040163-1A_HHV7FDSX7_L3 ADAR1_KO fr-first-strand
A5_CKDL230040163-1A_HHV7FDSX7_L3 ADAR1p150_KO fr-first-strand
A6_CKDL230040163-1A_HHV7FDSX7_L3 p150_minus_DOX fr-first-strand
A7_CKDL230040163-1A_HHV7FDSX7_L3 p150_plus_DOX fr-first-strand
A8_CKDL230040163-1A_HHV7FDSX7_L3 p150_plus_DOX_1mg fr-first-strand
A9_CKDL230040163-1A_HHV7FDSX7_L3 deltaZalpha fr-first-strand
A10_CKDL230040163-1A_HHV7FDSX7_L3 N173S fr-first-strand
A11_CKDL230040163-1A_HHV7FDSX7_L3 P193A fr-first-strand
A12_CKDL230040163-1A_HHV7FDSX7_L3 N173A_Y177A fr-first-strand
A13_CKDL230040163-1A_HHV7FDSX7_L3 H910Q_E912A fr-first-strand
A14_CKDL230040163-1A_HHV7FDSX7_L3 deltaZbeta fr-first-strand
A15_CKDL230040163-1A_HHV7FDSX7_L3 delta_one fr-first-strand
A16_CKDL230040163-1A_HHV7FDSX7_L3 double fr-first-strand
A17_CKDL230040163-1A_HHV7FDSX7_L3 ADAR1_KO_p150_minus_DOX fr-first-strand
A18_CKDL230040163-1A_HHV7FDSX7_L3 ADAR1_KO_p150_plus_DOX fr-first-strand
A19_CKDL230040163-1A_HHV7FDSX7_L3 ADAR1_KO_H910Q_E912A fr-first-strand
