fastq_id    sample_id   lib_type
1 1 fr-firststrand
2 2 fr-firststrand
3 3 fr-firststrand
4 4 fr-firststrand
5 5 fr-firststrand
6 6 fr-firststrand
7 7 fr-firststrand
