fastq_id    sample_id   lib_type
p150_Dox_24hrs_IFNB p150_Dox_24hrs_IFNB fr-firststrand
p150_Dox_48hrs_IFNB p150_Dox_48hrs_IFNB fr-firststrand
p150_Dox_IFNB p150_Dox_IFNB fr-firststrand
